sample_point_id,sp_name,latitude,longitude,sample_datetime,time_basis_id,param_id,param_name,value,param_std_unit_of_measure,param_short_name
number,string,number,number,datetime,string,string,string,number,string,string
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 03:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,15.69999981,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 04:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,17.60000038,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 05:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,17.10000038,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 06:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,19.20000076,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 07:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,10.89999962,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 08:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,6,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 09:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,12.5,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 10:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,15.89999962,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 11:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,13.5,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 12:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,12.10000038,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 13:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,7.099999905,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 14:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,9.399999619,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 15:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,11.30000019,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 16:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,13.80000019,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 17:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,-5.400000095,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 18:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,6.099999905,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 19:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,12.30000019,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 20:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,14.80000019,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 21:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,11.69999981,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 22:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,9.300000191,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 23:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,4.699999809,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 00:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,8.399999619,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 01:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,8.699999809,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 02:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,9.199999809,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 03:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,6.5,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 04:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,10.30000019,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 05:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,10.69999981,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 06:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,7.5,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 07:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,5.900000095,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 08:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,5.599999905,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 09:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,10.80000019,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 10:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,9.199999809,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 11:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,7.400000095,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 12:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,5.5,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 13:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,6.800000191,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 14:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,10.10000038,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 15:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,13.19999981,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 16:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,5.5,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 17:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,10,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 18:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,5.800000191,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 19:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,5.599999905,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 20:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,-0.899999976,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 21:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,2.900000095,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 22:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,2.900000095,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,05/01/2019 23:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,7.300000191,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,06/01/2019 00:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,4.099999905,ug/m3,PM2.5
